date_obs,n_exposures,ephemeris_file,mean_jd_ut,mean_dra_cosdec_arcsec_per_hr,mean_ddec_arcsec_per_hr,mean_t_mag,mean_r_au,mean_rdot_km_s,mean_delta_au,mean_deldot_km_s,mean_ra_deg,mean_dec_deg,mean_MJD
20250902,9,Ephemeris/horizons_results_20250902.txt,2460921.5320216045,-86.60464444444445,17.416909999999998,16.10411111111111,2.4545320964857775,-51.55824114444445,2.5694911429385185,-4.5081112999999995,231.1874315189815,-14.240962647530864,60921.03202160493
20250903,12,Ephemeris/horizons_results_20250903.txt,2460922.532696759,-85.8876,17.481640833333334,16.077916666666667,2.42480760227575,-51.30242135,2.5667660681796103,-4.284137100000001,230.5975410329861,-14.124473665277781,60922.03269675926
20250908,3,Ephemeris/horizons_results_20250908.txt,2460927.533333333,-82.38273333333332,17.732870000000002,15.946,2.2786819968323333,-49.853836333333334,2.5547244339631234,-3.4738355,227.72507235555554,-13.537290425925926,60927.03333333333
20250909,6,Ephemeris/horizons_results_20250909.txt,2460928.5189814814,-81.76853333333334,17.758825,15.920166666666665,2.250393127643833,-49.531124266666666,2.5525649249228635,-3.3986844500000006,227.1734992986111,-13.42078781574074,60928.01898148149
20250910,3,Ephemeris/horizons_results_20250910.txt,2460929.498842593,-81.19486666666667,17.778996666666668,15.894,2.2224561833973335,-49.19679953333334,2.5504622514324566,-3.3492233,226.62980935694443,-13.304779785185184,60928.99884259259
20250911,6,Ephemeris/horizons_results_20250911.txt,2460930.5091435183,-80.47563333333333,17.816095,15.866500000000002,2.1938537799135003,-48.83731276666666,2.5483361899090955,-3.2774039,226.07391186736115,-13.184949428703705,60930.009143518524
20250912,3,Ephemeris/horizons_results_20250912.txt,2460931.5053240745,-79.8408,17.842256666666668,15.839999999999998,2.1658608817846665,-48.467476466666675,2.546260534796643,-3.2445261666666667,225.53048766527778,-13.06664304814815,60931.00532407407
20250915,4,Ephemeris/horizons_results_20250915.txt,2460934.495486111,-77.999775,17.9110075,15.7585,2.08318026009525,-47.258276075,2.5400541575210474,-3.2709809749999996,223.926280903125,-12.710648718055555,60933.99548611111
20250916,4,Ephemeris/horizons_results_20250916.txt,2460935.5131944437,-77.3078,17.94464,15.7305,2.05553340282725,-46.81012270000001,2.5379143287634323,-3.296186575,223.38909453645832,-12.58917992013889,60935.013194444444
20250917,4,Ephemeris/horizons_results_20250917.txt,2460936.4958333336,-76.817475,17.96013,15.7035,2.0290946063965,-46.358399825,2.535806664819555,-3.3799865749999998,222.87458203645832,-12.471796697916666,60935.995833333334
20250918,6,Ephemeris/horizons_results_20250918.txt,2460937.4984953706,-76.24055,17.986970000000003,15.6755,2.0023870819573335,-45.877330683333334,2.5336144665907283,-3.4624488,222.35353146319446,-12.351853274537035,60936.998495370375
20250919,3,Ephemeris/horizons_results_20250919.txt,2460938.4967592596,-75.70926666666666,18.01415,15.648000000000001,1.976079464423,-45.377248900000005,2.5313737266041367,-3.566615066666667,221.8386386611111,-12.232283990740742,60937.99675925926
20250920,3,Ephemeris/horizons_results_20250920.txt,2460939.488425926,-75.23313333333333,18.039736666666666,15.62,1.950237410133,-44.85865999999999,2.5290792739200536,-3.6972335666666667,221.33083837777778,-12.11334216574074,60938.98842592593
20250921,2,Ephemeris/horizons_results_20250921.txt,2460940.482638889,-74.76644999999999,18.069385,15.592500000000001,1.9246336451919999,-44.31595135,2.526701871568935,-3.8434162,220.82524405625,-11.993904980555556,60939.98263888889
20250922,3,Ephemeris/horizons_results_20250922.txt,2460941.4842592594,-74.28606666666666,18.106323333333332,15.564,1.8991611178913335,-43.745118600000005,2.5242194475554567,-3.999496966666667,220.31925704583333,-11.873359657407407,60940.984259259254
20250923,3,Ephemeris/horizons_results_20250923.txt,2460942.4875000003,-73.82163333333334,18.147436666666664,15.536,1.8739856660513332,-43.1480866,2.5216338352181333,-4.172301666666666,219.81568978333334,-11.752381168518518,60941.987499999996
20250924,3,Ephemeris/horizons_results_20250924.txt,2460943.4863425926,-73.40633333333334,18.190626666666663,15.507666666666665,1.8492717459746668,-42.52747686666666,2.5189498192818296,-4.3657516,219.31738194861111,-11.631675350000002,60942.986342592594
20251125,3,Ephemeris/horizons_results_20251125.txt,2461004.8613425926,-120.15266666666666,41.95072,12.950333333333333,1.6738163250366667,36.80860736666666,1.9779236237800166,-21.66988406666667,185.19621721805552,-1.2168417546296297,61004.361342592594
20251126,3,Ephemeris/horizons_results_20251126.txt,2461005.865277778,-122.53133333333334,42.88973333333333,12.988333333333335,1.6954116709309999,37.669920633333334,1.9656665228098067,-21.327188966666668,184.38753455555556,-0.9326411444444443,61005.365277777775
20251127,3,Ephemeris/horizons_results_20251127.txt,2461006.8664351855,-124.94166666666666,43.83883666666667,14.911,1.7172292497736665,38.484852133333334,1.9534031465524968,-20.957299833333334,183.56511601527777,-0.6430282870370371,61006.366435185184
20251204,6,Ephemeris/horizons_results_20251204.txt,2461013.8346064813,-142.26133333333334,50.46910833333333,15.104,1.8823299230241666,43.348790916666665,1.8775048154617568,-17.026460966666665,177.3907978576389,1.5480677694444445,61013.33460648148
20251206,5,Ephemeris/horizons_results_20251206.txt,2461015.8318055556,-147.3402,52.26916,15.1346,1.9330055538386002,44.495804220000004,1.8591461557955242,-15.44366484,175.47049348250002,2.2314425361111114,61015.33180555556
